"Book_ID","Binding","Grade"
821458006,paperback,fine / like new
821601485,cloth / hardboard,fine / like new
821601486,cloth / hardboard,near fine
821762810,paperback,good
822212931,soft cover,
823293040,hardcover,fine / like new
823826796,paperback,good
823826802,paperback,fine / like new
823826811,paperback,fine / like new
823826821,paperback,good
825365343,soft cover,fair
827075202,hardcover,fine / like new
827315172,paperback,new
828330343,paperback,fine / like new
830285550,soft cover,
832410435,wraps,fine / like new
837170227,hardcover,good
838540873,hardcover,fine / like new
838716248,hardcover,
840743258,soft cover,good
846020490,soft cover,near fine
847181155,soft cover,
847181158,soft cover,
847860292,soft cover,fair
847860331,soft cover,good
850183995,hardcover,fine / like new
850316676,hardcover,fine / like new
850832649,wraps,
853088426,hardcover,near fine
853252347,soft cover,fine / like new
853252366,soft cover,good
853260977,soft cover,good
853271988,hardcover,near fine
853284712,no binding,good
853492556,hardcover,fine / like new
853772835,wraps,good
858519502,soft cover,fine / like new
858878682,hardcover,
863143993,hardcover,good
863170238,no binding,good
863170239,no binding,good
863170290,no binding,good
865301163,paperback,good
865303154,paperback,fine / like new
871522224,magazine,fine / like new
871893707,hardcover,good
871922545,wraps,fine / like new
877402989,paperback,good
878378547,paperback,fine / like new
879495102,paperback,good
880572285,hardcover,good
882267978,paperback,fine / like new
882270242,wraps,good
883261512,paperback,good
885795753,hardcover,good
886780125,hardcover,good
887444363,hardcover,near fine
890942888,paperback,good
893249769,hardcover,good
893806131,paperback,near fine
896656915,hardcover,fine / like new
897560422,cloth / hardboard,good
897912754,,fair
898001281,hardcover,fine / like new
898001305,hardcover,good
900502483,hardcover,fair
900502490,hardcover,fair
900530144,cloth / hardboard,good
900553372,hardcover,fine / like new
901968340,magazine,fine / like new
902321458,wraps,near fine
903107586,magazine,fine / like new
905247349,paperback,fine / like new
910081388,hardcover,fine / like new
912915344,paperback,near fine
917611974,cloth / hardboard,fair
918148811,hardcover,near fine
918920774,hardcover,fine / like new
918921099,,
919045129,paperback,fine / like new
920392712,soft cover,
920917862,paperback,good
925276539,hardcover,
927977128,hardcover,
928649763,hardcover,fine / like new
931734909,paperback,fine / like new
932020316,paperback,near fine
936183263,paperback,good
936865316,wraps,fine / like new
937523538,paperback,good
938435905,hardcover,good
941021824,paperback,near fine
942016599,magazine,fine / like new
944274018,soft cover,fine / like new
944760790,hardcover,fine / like new
947110148,paperback,near fine
949617917,paperback,
955684999,hardcover,near fine
956089504,unknown binding,
958983259,paperback,fine / like new
959389199,hardcover,
964470310,soft cover,fine / like new
968846416,paperback,fine / like new
970742165,hardcover,good
973902063,cloth / hardboard,good
975731939,,
976636390,magazine,good
977917382,paperback,fine / like new
978561800,paperback,fine / like new
984123357,paperback,fine / like new
984123363,paperback,fine / like new
984502876,paperback,
985236457,magazine,fine / like new
987184342,hardcover,fine / like new
987184359,soft cover,fine / like new
988184408,hardcover,fine / like new
989012211,hardcover,fine / like new
991503799,magazine,fine / like new
993818640,paperback,fine / like new
995951978,hardcover,
997539071,paperback,fine / like new
998140904,hardcover,fine / like new
998637035,magazine,fine / like new
1001004661,hardcover,fine / like new
1002048565,hardcover,fine / like new
1002206963,hardcover,fine / like new
1002643568,hardcover,good
1005238428,paperback,fine / like new
