"Book_ID","Language"
1158811404,English
1159217683,English
1159562664,English
1159583064,English
1161155278,English
1161916653,English
1162819276,English
1163126018,English
1164652848,English
1165631406,English
1166217257,English
1167839056,English
1171065231,English
1171065240,English
1173875456,English
1174435693,English
1174609542,English
1174641502,English
1174641597,English
1175966145,English
1178876540,English
1180993472,English
1181077062,English
1181159686,English
1189031272,English
1189096663,English
1189239795,English
1189938012,English
1190707329,English
1192965515,English
1193528826,English
1197931021,English
1197960674,English
1205202587,English
1205697635,English
1207397416,English
1213047026,English
1218527692,English
1223705332,English
1227066368,English
1227066372,English
1228530097,English
1229370967,English
1229538135,English
1229827197,English
1231828374,English
1233884209,English
1236210195,English
1236247631,English
1236548815,English
1237422408,English
1239335062,English
1240598454,English
1242412807,English
1242678490,English
1244701135,English
1245833238,English
1256206301,English
1257848789,English
1262141130,English
1262336806,English
1264738702,English
1266713163,English
1269423834,English
1270293452,English
1270420421,English
1271852724,English
1274398111,English
1276326196,English
1276784269,English
1278465886,English
1279220374,English
1279220376,English
1284941630,English
1284941646,English
1285575094,English
1285607493,English
1286173022,English
1288786367,English
1291114339,English
1291625187,English
1293154510,English
1296020777,English
1296902590,English
1298543009,English
1300068323,English
1302998503,English
1304500422,English
1308458766,French
1308467866,English
1309179668,English
1309268661,English
1310569963,English
1311560672,English
1312111667,English
1314771778,English
1314771786,English
1318327241,English
1324114817,English
1329938317,English
1329938318,English
1329938319,English
1329938320,English
1329938321,English
1331850442,English
1332186599,English
1337823384,English
1345714886,English
1351487911,English
1353737089,English
1355147774,English
1355866045,German
1356103147,English
1358285594,English
1362280519,English
1362660776,English
1365327675,English
1367851103,English
1368030828,English
1368486363,English
1368818196,English
1368864025,English
1368864027,English
1371720116,English
1372697973,English
1373418437,English
1377092612,English
1377123325,English
1378529221,English
1385160002,English
1392905679,English
1394872876,English
1394920557,English
1396365945,English
1399052657,English
1399292906,English
1399292907,English
1400760568,English
1405648593,English
1408774154,English
1409090477,English
1409595508,English
1409893345,English
1410348411,English
1413453361,English
1416199206,English
1416983867,English
1417796350,English
1418092990,English
1422807600,English
1425179731,English
1425197655,English
1425230416,English
1427386843,English
1428681247,English
1428828955,English
1453394590,English
1472955007,English
1516574962,English
1535140018,English
1550125451,English
1603583007,English
1676969925,English
1738430087,English
1752765559,English
1775176990,English
1803134620,English
1805821078,English
1812094786,English
1856191637,English
1865187273,English
1876379322,English
1911569602,English
1936768247,English
1936768266,English
1945206117,English
1945206488,English
1945206942,English
1945207067,English
1945207096,English
1945207223,English
1945207404,English
1945207438,English
1958318699,English
1958318849,English
1958318850,English
1958318852,English
1960367911,English
1971730398,English
1978280450,English
1979534143,Spanish
1993243968,English
2000944092,English
2025462087,English
2035605341,English
2052127905,English
2052127906,English
2076807927,English
2099463407,English
2102680070,English
2102680072,English
2135347146,English
2154647721,Danish
2167109007,English
2189498640,English
2195879888,English
2203113854,English
2203715682,English
2212389845,English
2216973779,English
2229801668,English
2337216202,English
2407602013,English
2408526594,English
2454295724,English
2455157527,English
2457405014,English
2472136841,English
2473960297,English
2483398492,English
2499489018,English
2520829699,English
2576484389,English
2585363632,English
2589692468,English
2609856368,English
2624672734,English
2638207388,English
2638836678,English
2660201434,English
2660202863,English
2668030251,English
2670096001,English
2671035441,English
2702982500,English
2709164695,English
2713065618,English
2713759101,English
2762372408,English
2780155689,English
2786898050,English
2795335604,English
2795338706,English
2795338708,English
2795338709,English
2795338710,English
2795338714,English
2808967626,English
2841519123,English
2845020489,English
2845020490,English
2845020491,English
2845020492,English
2846955772,English
2852738685,English
2901541692,English
2916477462,English
2954452664,English
2992155377,English
2992155379,English
2992155380,English
2992155501,English
3001480206,English
3004369455,English
3017673348,English
3031537824,English
3054593465,English
3065816212,English
3079620522,English
3104411390,English
3104956734,English
3135114567,English
3138995868,English
3152437341,English
3158071137,English
3187587517,English
3192622214,English
3205896145,English
3209889895,English
3226590185,English
3230268196,English
3230268197,English
3230268198,English
3242361319,English
3260924086,English
3267433599,English
3303948577,English
3352210933,English
3353422260,English
3365697142,English
3367383210,English
3401872846,English
3444423462,English
3473387368,English
3486692730,English
3486692753,English
3545689081,English
3547448912,English
3576522085,English
3582833122,English
3583099184,English
3596470670,English
3608630095,English
3608642811,English
3646351457,English
3654291430,English
3678886360,English
3685474423,English
3710950034,English
3726414581,English
3789839619,English
3828386155,English
3834792329,English
3841318070,English
3860475444,English
3876264608,English
3876264609,English
3876264610,English
3876264612,English
3876264613,English
3879449256,English
3879462260,English
3879464988,English
3879465545,English
3890332555,English
3908620809,English
3942794262,English
3942794264,English
3960492432,English
3965984540,English
3982214550,English
4012924271,English
4055674208,English
4165427024,English
4234295003,English
4250500014,English
4267747620,English
4271573849,English
4285032067,English
4305883377,English
4373198754,English
4374181139,English
4378991017,English
4388811546,English
4403519080,English
4425316690,English
4435096316,English
4438839358,English
4438854577,English
4438854578,English
